J0448-6700,04 48 22,-66 59 52,0.46,4.6E+20,0,0,0,220,0.0611,8.00E+16,2.59,0.21,0.02,0.02,1.40E-03,4.20E+05,419.66,7.62E+10,2.42E+03,2.41775089
J0449-6920,04 49 20,-69 20 20,0.07,7E+19,0,0,0,162,0.0450,5.89E+16,1.91,0.2,0.05,0.12,1.37E-03,4.10E+05,409.55,5.75E+10,1.82E+03,1.824
J0450-7050,04 50 27,-70 50 15,0.59,5.9E+20,0,0,0,340,0.0944,1.24E+17,4.01,0.24,0.02,0.02,1.50E-03,4.49E+05,448.64,1.10E+11,3.50E+03,3.495
J0453-6655,04 53 14,-66 55 13,1.17,1.17E+21,0,0,0,256,0.0711,9.31E+16,3.02,0.36,0.1,0.08,1.83E-03,5.49E+05,549.47,6.78E+10,2.15E+03,2.149
J0453-6829,04 53 38,-68 29 27,13.85,1.385E+22,2.12,0.57,2.9362E+22,120,0.0333,4.36E+16,1.41,0.37,0.03,0.05,1.86E-03,5.57E+05,557.05,3.13E+10,9.94E+02,0.994
J0454-6713,04 54 33,-67 13 13,1.58,1.58E+21,0,0,0,216,0.0600,7.85E+16,2.55,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0454-6626,04 54 49,-66 25 32,0.63,6.3E+20,0,0,0,106,0.0294,3.85E+16,1.25,0.34,0.09,0.07,1.78E-03,5.34E+05,533.99,2.89E+10,9.16E+02,0.916
J0455-6839,04 55 37,-68 38 47,1.42,1.42E+21,0,0,0,366,0.1017,1.33E+17,4.31,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0459-7008,04 59 55,-70 07 52,1.09,1.09E+21,0,0,0,114,0.0317,4.15E+16,1.34,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0505-6753,05 05 42,-67 52 39,44.59,4.459E+22,1.5,0.39,6.6885E+22,76,0.0211,2.76E+16,0.90,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0505-6802,05 05 55,-68 01 47,26.25,2.625E+22,1.6,0.41,4.2E+22,96,0.0267,3.49E+16,1.13,0.32,0.02,0.03,1.73E-03,5.18E+05,518.04,2.70E+10,8.55E+02,0.855
J0506-6541,05 06 05,-65 41 08,0.53,5.3E+20,0,0,0,410,0.1139,1.49E+17,4.83,0.18,0.01,0.01,1.30E-03,3.89E+05,388.53,1.53E+11,4.87E+03,4.867
J0506-7026,05 06 50,-70 25 53,1.44,1.44E+21,0,0,0,262,0.0728,9.53E+16,3.09,0.7,0.09,0.02,2.55E-03,7.66E+05,766.20,4.97E+10,1.58E+03,1.577
